Amphipoda,Paramelitidae,Mathemelita,aequicaudata,Mathemelita aequicaudata,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,19,
Amphipoda,Paramelitidae,Mathemelita,,Mathemelita,Genus,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,20,
Amphipoda,Paramelitidae,Paramelita,aurantia,Paramelita aurantia,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,21,
Amphipoda,Paramelitidae,Paramelita,barnardi,Paramelita barnardi,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,22,
Amphipoda,Paramelitidae,Paramelita,capensis,Paramelita capensis,Species,Small (5–10),15 mm,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Swarm over and skeletonise leaf litter (Griffiths et al. 2015).,Vegetation,Griffiths et al. 2015,Moderately fast flowing (0.3–0.6),Griffiths et al. 2015,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,Mountain/headwater stream,Griffiths et al. 2015,Micro endemic,,,,33.8°C,Dallas and de Moore (2012),,,,,,,,,,,23,
Amphipoda,Paramelitidae,Paramelita,flexa,Paramelita flexa,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,24,
Amphipoda,Paramelitidae,Paramelita,granulicornis,Paramelita granulicornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,25,
Amphipoda,Paramelitidae,Paramelita,kogelensis,Paramelita kogelensis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,26,
Amphipoda,Paramelitidae,Paramelita,magna,Paramelita magna,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,27,
Amphipoda,Paramelitidae,Paramelita,magnicornis,Paramelita magnicornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,28,
Amphipoda,Paramelitidae,Paramelita,nigroculus,Paramelita nigroculus,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,Mountain/headwater stream,,Widespread,,Cold stenotherm (preference for a small cold temperature range (below 18 °C),,28.5°C,Dallas and de Moore (2012),23.9,Dallas and Ketley 2011.,,,,,,,,,29,
Amphipoda,Paramelitidae,Paramelita,odontophora,Paramelita odontophora,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,30,
Amphipoda,Paramelitidae,Paramelita,parva,Paramelita parva,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,31,
Amphipoda,Paramelitidae,Paramelita,pillicornis,Paramelita pillicornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,32,
Amphipoda,Paramelitidae,Paramelita,pinnicornis,Paramelita pinnicornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,33,
Amphipoda,Paramelitidae,Paramelita,platypus,Paramelita platypus,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,34,
Amphipoda,Paramelitidae,Paramelita,seticornis,Paramelita seticornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Widespread,,,,,,,,,,,,,,,,35,
Amphipoda,Paramelitidae,Paramelita,spinicornis,Paramelita spinicornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,36,
Amphipoda,Paramelitidae,Paramelita,triangula,Paramelita triangula,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,37,
Amphipoda,Paramelitidae,Paramelita,tulbaghensis,Paramelita tulbaghensis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,38,
Amphipoda,Paramelitidae,Paramelita,validicornis,Paramelita validicornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,39,
Amphipoda,Paramelitidae,Paramelita,,Paramelita,Genus,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,40,
Amphipoda,Paramelitidae,,,Paramelitidae,Family,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,41,
